Patient_ID,UNC13D,WNT2,ZNF189
DO32829,11.88,4.39,7.94
DO32860,5.84,8.59,7.64
DO32863,12.62,14.63,6.96
DO32875,44.65,1.68,7.15
DO32878,26.14,0.77,4.68
DO32887,32.54,0.0,12.27
DO32900,6.85,1.38,14.31
DO32936,38.89,0.0,4.53
DO33091,0.16,0.01,2.69
DO33128,23.26,5.94,10.73
DO33168,11.76,2.73,9.16
DO33256,29.64,0.0,1.39
DO33336,16.48,2.12,5.63
DO33344,23.31,2.99,13.62
DO33368,9.92,1.23,8.58
DO33376,3.49,11.65,11.85
DO33392,5.74,2.11,12.92
DO33400,4.25,2.27,15.1
DO33408,13.74,10.48,9.61
DO33472,25.16,3.34,5.45
DO33480,12.99,4.75,7.71
DO33488,1.62,5.17,14.2
DO33512,32.88,4.96,5.09
DO33528,20.14,0.03,2.88
DO33544,9.25,2.9,6.38
DO33552,16.96,8.76,9.64
DO33600,6.92,0.78,5.25
DO33632,19.93,0.0,2.84
DO33656,7.8,0.0,0.6
DO33984,6.21,7.84,10.27
DO34240,14.3,2.9,6.98
DO34264,5.28,3.27,9.34
DO34288,17.1,3.81,6.45
DO34312,13.65,3.45,8.29
DO34336,4.81,0.29,0.14
DO34368,9.29,2.36,7.62
DO34376,22.33,0.01,4.87
DO34432,7.6,6.51,7.57
DO34448,13.09,9.76,14.13
DO34504,19.48,2.38,11.0
DO34600,18.72,1.78,4.67
DO34608,11.43,5.82,18.21
DO34616,4.79,0.18,9.83
DO34640,26.34,2.46,8.34
DO34656,7.29,1.44,34.56
DO34680,16.26,1.08,13.32
DO34696,25.87,4.4,12.71
DO34720,8.66,8.44,22.37
DO34728,6.4,10.7,9.32
DO34736,4.34,3.68,20.58
DO34785,10.63,5.53,17.84
DO34793,7.41,4.63,10.88
DO34801,6.5,5.25,11.22
DO34809,2.9,1.49,18.63
DO34817,6.12,5.89,17.35
DO34849,23.84,0.84,7.6
DO34905,2.76,5.93,9.79
DO34945,22.62,1.14,8.8
DO34961,10.23,0.05,8.76
DO49074,60.32,0.0,2.99
DO49076,24.56,0.41,10.35
DO49078,10.19,3.31,7.71
DO49079,37.74,1.5,6.83
DO49080,7.54,1.14,13.34
DO49087,3.22,2.77,19.86
DO49090,10.78,3.47,10.4
DO49105,26.23,0.0,2.56
DO49113,8.61,5.28,11.56
DO49127,10.3,4.21,14.78
DO49129,18.32,4.87,18.34
DO49130,6.51,2.8,13.53
DO49133,3.73,3.25,14.83
DO49135,9.67,1.62,14.02
DO49137,4.77,1.48,17.22
DO49138,14.2,2.1,8.76
DO49164,18.5,5.9,15.71
DO49166,13.65,4.6,9.27
DO49168,7.2,5.97,13.51
DO49170,7.12,7.05,7.73
DO49172,12.31,0.49,12.32
DO49175,30.45,0.04,9.49
DO49178,9.2,2.03,19.52
DO49181,3.35,0.61,15.93
DO49183,22.12,4.35,8.95
DO49184,32.03,0.64,9.13
DO49185,8.0,3.94,9.25
DO49193,13.54,7.35,11.29
DO49198,7.91,0.65,8.78
DO49199,15.63,5.55,7.72
DO49204,11.32,0.5,8.47
